Assaig 	Claro 	Asign 	Temps
1 	8 	8 	43.751
2 	5 	4 	6.933
3 	5 	4 	3.310
4 	4 	3 	2.816
5 	4 	3 	2.854
6 	1 	2 	8.782
7 	1 	2 	2.585
8 	3 	3 	4.153
9 	5 	4 	3.274
10 	5 	5 	2.451
11 	3 	3 	2.412
12 	8 	8 	3.762
13 	6 	6 	2.309
14 	0 	1 	2.176
15 	5 	6 	3.187
16 	8 	8 	3.720
17 	9 	9 	2.183
18 	2 	2 	2.655
19 	4 	4 	2.911
20 	8 	8 	4.355
21 	0 	1 	2.076
22 	7 	6 	5.174
23 	3 	3 	3.607
24 	4 	4 	5.287
25 	0 	1 	1.565
26 	9 	9 	2.195
27 	0 	1 	3.344
28 	6 	4 	4.306
29 	0 	1 	1.939
30 	3 	3 	3.294
31 	1 	2 	1.896
32 	8 	7 	2.516
33 	3 	4 	2.954
34 	9 	8 	2.828
35 	2 	3 	3.126
36 	7 	6 	3.039
37 	7 	6 	2.034
38 	9 	8 	2.021
39 	7 	7 	1.891
40 	2 	3 	2.110
41 	4 	5 	2.958
42 	2 	3 	1.843
43 	7 	7 	3.834
44 	2 	3 	2.049
45 	9 	9 	2.507
46 	6 	5 	6.884
47 	6 	5 	1.770
48 	6 	5 	12.922
49 	1 	2 	1.822
50 	1 	2 	1.559

