%=====Percepción Visual=============DETECTION OF THE COLINEALITY=======©JA.Aznar-2004====================
% Mon Aug 12 17:08:29 2019
 % 
DNI= 31415926 
% =========================================================================================================================
%Num 	Condi 	Torsion 	Coline 	Resp 	Sentit 	TR 
% =========================================================================================================================
  1 	1 	0.00 	0.00 	0 	1 	  0.96
  2 	3 	30.00 	4.00 	0 	1 	  0.84
  3 	2 	15.00 	1.00 	0 	1 	  0.67
  4 	2 	15.00 	5.00 	0 	1 	  0.70
  5 	1 	0.00 	2.00 	0 	1 	  0.48
  6 	4 	45.00 	3.00 	0 	1 	  0.76
  7 	4 	45.00 	0.00 	0 	1 	  0.92
  8 	4 	45.00 	3.00 	0 	1 	  0.56
  9 	2 	15.00 	2.00 	0 	1 	  0.60
 10 	2 	15.00 	0.00 	0 	1 	  0.69
 11 	1 	0.00 	6.00 	0 	1 	  0.55
 12 	3 	30.00 	8.00 	0 	1 	  0.87
 13 	2 	15.00 	4.00 	0 	1 	  0.53
 14 	4 	45.00 	0.00 	0 	1 	  0.65
 15 	3 	30.00 	1.00 	0 	1 	  1.18
 16 	1 	0.00 	5.00 	0 	1 	  2.05
 17 	4 	45.00 	0.00 	0 	1 	  0.71
 18 	3 	30.00 	0.00 	0 	1 	  0.66
 19 	3 	30.00 	3.00 	0 	1 	  0.69
 20 	2 	15.00 	3.00 	0 	1 	  0.53
 21 	1 	0.00 	7.00 	0 	1 	  0.45
 22 	3 	30.00 	4.00 	0 	1 	  0.62
 23 	2 	15.00 	4.00 	0 	1 	  0.51
 24 	2 	15.00 	3.00 	0 	1 	  0.49
 25 	4 	45.00 	4.00 	0 	1 	  0.60
 26 	3 	30.00 	6.00 	0 	1 	  0.73
 27 	4 	45.00 	4.00 	0 	1 	  0.81
 28 	3 	30.00 	0.00 	0 	1 	  1.13
 29 	2 	15.00 	6.00 	0 	1 	  0.58
 30 	4 	45.00 	6.00 	0 	1 	  0.54
 31 	4 	45.00 	7.00 	0 	1 	  0.96
 32 	4 	45.00 	2.00 	0 	1 	  0.66
 33 	4 	45.00 	5.00 	0 	1 	  0.59
 34 	4 	45.00 	2.00 	0 	1 	  0.60
 35 	3 	30.00 	2.00 	0 	1 	  0.90
 36 	3 	30.00 	1.00 	0 	1 	  0.83
 37 	3 	30.00 	7.00 	0 	1 	  0.75
 38 	3 	30.00 	1.00 	0 	1 	  0.78
 39 	1 	0.00 	5.00 	0 	1 	  0.54
 40 	2 	15.00 	0.00 	0 	1 	  0.91
 41 	4 	45.00 	1.00 	0 	1 	  0.69
 42 	2 	15.00 	3.00 	0 	1 	  0.56
 43 	4 	45.00 	2.00 	0 	1 	  0.61
 44 	3 	30.00 	7.00 	0 	1 	  0.61
 45 	3 	30.00 	0.00 	0 	1 	  0.58
 46 	2 	15.00 	2.00 	0 	1 	  0.76
 47 	2 	15.00 	4.00 	0 	1 	  0.55
 48 	4 	45.00 	1.00 	0 	1 	  0.57
 49 	4 	45.00 	1.00 	0 	1 	  0.55
